Labels	2# Normalised	3# Normalised	1# Normalised
Type	Emission Scan	Emission Scan	Emission Scan

574	4411.34131	2356.20923	4937.62842
575	4409.85693	2259.54443	5082.64404
576	4390.11377	2244.66357	5107.97363
577	4274.2583	2171.65503	5103.74805
578	4202.7998	2258.05835	5360.67285
579	4158.66748	2259.18237	5377.57031
580	4097.15479	2203.57129	5440.74512
581	4218.69531	2102.57935	5610.6167
582	3996.56299	2094.4707	5678.97363
583	3989.22656	2114.77637	5800.57178
584	3881.7688	2155.31079	5679.99316
585	3869.56274	2068.40308	6006.38721
586	3750.36108	1977.19873	6251.95215
587	3714.27124	2063.24976	6143.11768
588	3688.43408	1971.19373	6358.36426
589	3653.81714	1898.24805	6395.59619
590	3586.46094	1868.64978	6285.61084
591	3717.61182	1890.5863	6436.88672
592	3558.64014	1808.38611	6583.86035
593	3445.42725	1892.4353	6569.08252
594	3487.49585	1877.06763	6576.26074
595	3450.08569	1783.02966	6680.85059
596	3470.89575	1785.16052	6862.60938
597	3423.27075	1917.51196	6987.50732
598	3244.44751	1661.94067	6914.0752
599	3254.44678	1672.88684	7100.95361
600	3141.96094	1722.05029	6999.3042
601	3183.29785	1816.93921	6844.15527
602	3123.40552	1615.73901	7128.95752
603	3048.69019	1752.20325	7013.48682
604	2957.28345	1675.45288	7377.93359
605	2893.23975	1638.99536	7141.71729
606	2952.43311	1712.28003	7275.06641
607	2774.93042	1530.1499	7374.64746
608	2908.55664	1573.25293	7426.87793
609	2904.20654	1581.9762	7320.75928
610	2751.39453	1482.86536	7497.96338
611	2720.79712	1462.14209	7330.6001
612	2716.24365	1545.70923	7296.07617
613	2646.25098	1507.87708	7332.58057
614	2707.73486	1334.2041	7397.99023
615	2562.96606	1460.04468	7200.52393
616	2581.40674	1438.99109	7194.60596
617	2452.99121	1421.09363	7324.36182
618	2498.15942	1400.3844	7263.9126
619	2468.8396	1353.71716	7239.88428
620	2416.10693	1294.82373	7248.47803
621	2359.86426	1372.22876	7499.23975
622	2369.43384	1311.39746	7384.53516
623	2329.12402	1434.86755	7341.11182
624	2289.39941	1335.25488	7169.80029
625	2269.12573	1352.578	7254.20996
626	2227.24854	1245.78845	7126.76416
627	2185.58325	1288.72253	7309.52148
628	2088.20654	1318.5719	7122.0127
629	2157.3103	1179.44897	7139.88867
630	2101.19409	1209.69653	7065.8457
631	2073.70508	1168.56506	6807.27588
632	2019.48425	1184.11609	6960.12451
633	2006.69934	1201.62085	7098.36328
634	1980.9657	1216.5293	7061.66406
635	1991.77856	1205.02649	6707.53076
636	1909.7677	1126.5769	6458.57471
637	1901.39087	1186.1217	6796.32959
