e:\onedrive\实验\xps\0119xueq82813\0119xueq82813-merged-region.vms
Zn 2p/9
	Characteristic Energy eV	1486.69	Acquisition Time s	0.4488
KE_Zn 2p/9	BE_Zn 2p/9	CPS_Zn 2p/9	Zn 2p_1_Zn 2p/9	Zn 2p_2_Zn 2p/9	Background_Zn 2p/9	Envelope_Zn 2p/9	Normalised_Residual_Zn 2p/9	Residual_Zn 2p/9
443.192	1043.5	14242.4	12065.7	14589.4	12065.3	14589.7	1.94965	155.874
443.292	1043.4	13712.1	12068.1	14122.7	12067.7	14123.1	2.351	184.43
443.392	1043.3	13288.8	12069.8	13729	12069.5	13729.3	2.56028	197.723
443.492	1043.2	13333.3	12071.7	13402.4	12071.4	13402.7	0.402459	31.1328
443.592	1043.1	13123.9	12073.2	13136.3	12072.9	13136.6	0.0742872	5.70127
443.692	1043	12774.1	12074.2	12921.4	12073.9	12921.7	0.875259	66.2716
443.792	1042.9	12776.3	12075.3	12751	12074.9	12751.3	-0.148054	-11.2111
443.892	1042.8	12696.1	12076.2	12616.3	12075.8	12616.7	-0.471946	-35.6249
443.992	1042.7	12337.3	12076.6	12510.8	12076.2	12511.2	1.04844	78.0156
444.092	1042.6	12228.2	12076.8	12428.2	12076.4	12428.5	1.21377	89.9172
444.192	1042.5	12272.7	12077.1	12364	12076.7	12364.4	0.554128	41.1251
444.292	1042.4	12248.2	12077.3	12313.8	12077	12314.1	0.399006	29.583
444.392	1042.3	12335.1	12077.7	12274.7	12077.3	12275	-0.362433	-26.9666
444.492	1042.2	12379.7	12078.2	12243.8	12077.8	12244.2	-0.815656	-60.7979
444.592	1042.1	12228.2	12078.4	12219.2	12078	12219.6	-0.0518105	-3.83817
444.692	1042	12241.5	12078.6	12199.5	12078.2	12199.9	-0.252267	-18.6984
444.792	1041.9	12241.5	12078.9	12183.5	12078.5	12183.9	-0.348717	-25.8474
444.892	1041.8	12237.1	12079.1	12170.5	12078.7	12170.9	-0.400764	-29.6998
444.992	1041.7	11974.2	12079.3	12159.7	12078.9	12160.1	1.13828	83.4446
445.092	1041.6	12232.6	12079.5	12150.7	12079.1	12151.1	-0.493735	-36.583
445.192	1041.5	12130.1	12079.6	12143	12079.2	12143.4	0.0808502	5.96541
445.292	1041.4	11936.3	12079.8	12136.6	12079.4	12137	1.23079	90.0835
445.392	1041.3	11914	12080.1	12131.1	12079.6	12131.5	1.33523	97.6365
445.492	1041.2	12074.4	12080.1	12126.2	12079.6	12126.6	0.318222	23.4255
445.592	1041.1	12250.4	12250.9	12292.7	12250.4	12293.1	0	0
445.692	1041	12165.8	12166.2	12204.2	12165.8	12204.7	0	0
445.792	1040.9	12163.5	12164	12198.7	12163.5	12199.2	0	0
445.892	1040.8	11947.4	11947.9	11979.6	11947.4	11980.1	0	0
445.992	1040.7	11619.9	11620.4	11649.5	11619.9	11650	0	0
446.092	1040.6	12012	12012.5	12039.3	12012	12039.8	0	0
446.192	1040.5	11951.9	11952.4	11977.1	11951.9	11977.6	0	0
446.292	1040.4	11740.2	11740.7	11763.5	11740.2	11764	0	0
446.392	1040.3	11945.2	11945.7	11966.8	11945.2	11967.3	0	0
446.492	1040.2	12161.3	12161.8	12181.4	12161.3	12181.9	0	0
446.592	1040.1	12007.6	12008.1	12026.3	12007.6	12026.8	0	0
446.692	1040	11925.1	11925.7	11942.6	11925.1	11943.1	0	0
446.792	1039.9	11824.9	11825.4	11841.2	11824.9	11841.7	0	0
446.892	1039.8	11876.1	11876.7	11891.4	11876.1	11891.9	0	0
446.992	1039.7	11943	11943.5	11957.3	11943	11957.8	0	0
447.092	1039.6	11829.3	11829.9	11842.7	11829.3	11843.3	0	0
447.192	1039.5	12007.6	12008.2	12020.2	12007.6	12020.8	0	0
447.292	1039.4	11931.8	11932.4	11943.7	11931.8	11944.3	0	0
447.392	1039.3	11816	11816.6	11827.1	11816	11827.7	0	0
447.492	1039.2	11816	11816.6	11826.5	11816	11827.1	0	0
447.592	1039.1	11492.9	11493.5	11502.8	11492.9	11503.5	0	0
447.692	1039	11461.7	11462.3	11471.1	11461.7	11471.7	0	0
447.792	1038.9	11695.6	11696.3	11704.5	11695.6	11705.2	0	0
447.892	1038.8	11617.6	11618.3	11626.1	11617.6	11626.8	0	0
447.992	1038.7	11593.1	11593.8	11601.1	11593.1	11601.8	0	0
448.092	1038.6	11450.5	11451.2	11458.1	11450.5	11458.8	0	0
448.192	1038.5	11515.2	11515.9	11522.4	11515.2	11523.1	0	0
448.292	1038.4	11557.5	11558.2	11564.4	11557.5	11565.1	0	0
448.392	1038.3	11512.9	11513.7	11519.5	11512.9	11520.2	0	0
448.492	1038.2	11564.2	11564.9	11570.4	11564.2	11571.1	0	0
448.592	1038.1	11310.2	11310.9	11316.3	11310.2	11317	0	0
448.692	1038	11365.9	11366.6	11371.7	11365.9	11372.5	0	0
448.792	1037.9	11590.9	11591.7	11596.4	11590.9	11597.2	0	0
448.892	1037.8	11490.6	11491.4	11495.9	11490.6	11496.7	0	0
448.992	1037.7	11082.9	11083.7	11087.8	11082.9	11088.7	0	0
449.092	1037.6	11287.9	11288.7	11292.6	11287.9	11293.5	0	0
449.192	1037.5	11294.6	11295.4	11299.1	11294.6	11300	0	0
449.292	1037.4	11307.9	11308.8	11312.3	11307.9	11313.2	0	0
449.392	1037.3	11207.7	11208.6	11211.9	11207.7	11212.8	0	0
449.492	1037.2	11363.6	11364.5	11367.7	11363.6	11368.6	0	0
449.592	1037.1	11167.6	11168.5	11171.5	11167.6	11172.4	0	0
449.692	1037	11078.4	11079.4	11082.2	11078.4	11083.1	0	0
449.792	1036.9	10971.5	10972.4	10975	10971.5	10976	0	0
449.892	1036.8	10980.4	10981.4	10983.8	10980.4	10984.8	0	0
449.992	1036.7	11060.6	11061.6	11063.9	11060.6	11064.9	0	0
450.092	1036.6	10929.1	10930.2	10932.3	10929.1	10933.3	0	0
450.192	1036.5	10864.5	10865.6	10867.6	10864.5	10868.6	0	0
450.292	1036.4	11051.7	11052.8	11054.7	11051.7	11055.7	0	0
450.392	1036.3	10770.9	10772	10773.8	10770.9	10774.9	0	0
450.492	1036.2	11051.7	11052.8	11054.4	11051.7	11055.6	0	0
450.592	1036.1	10904.6	10905.8	10907.3	10904.6	10908.4	0	0
450.692	1036	10922.5	10923.6	10925	10922.5	10926.2	0	0
450.792	1035.9	10623.9	10625.1	10626.3	10623.9	10627.5	0	0
450.892	1035.8	10971.5	10972.7	10973.8	10971.5	10975.1	0	0
450.992	1035.7	10900.2	10901.4	10902.5	10900.2	10903.7	0	0
451.092	1035.6	10782.1	10783.4	10784.3	10782.1	10785.6	0	0
451.192	1035.5	10898	10899.2	10900.1	10898	10901.4	0	0
451.292	1035.4	10784.3	10785.6	10786.4	10784.3	10787.7	0	0
451.392	1035.3	10494.7	10496	10496.7	10494.7	10498	0	0
451.492	1035.2	10744.2	10745.6	10746.1	10744.2	10747.5	0	0
451.592	1035.1	10661.8	10663.2	10663.6	10661.8	10665.1	0	0
451.692	1035	10525.8	10527.3	10527.6	10525.8	10529.1	0	0
451.792	1034.9	10568.2	10569.7	10569.9	10568.2	10571.4	0	0
451.892	1034.8	10550.4	10551.9	10552.1	10550.4	10553.6	0	0
451.992	1034.7	10367.6	10369.2	10369.3	10367.6	10370.9	0	0
452.092	1034.6	10329.8	10331.4	10331.4	10329.8	10333	0	0
452.192	1034.5	10227.3	10228.9	10228.8	10227.3	10230.5	0	0
452.292	1034.4	10494.7	10496.3	10496.2	10494.7	10497.8	0	0
452.392	1034.3	10336.5	10338.2	10337.9	10336.5	10339.6	0	0
452.492	1034.2	10265.2	10266.9	10266.6	10265.2	10268.3	0	0
452.592	1034.1	10238.4	10240.2	10239.8	10238.4	10241.6	0	0
452.692	1034	10167.1	10169	10168.4	10167.1	10170.3	0	0
452.792	1033.9	10211.7	10213.6	10213	10211.7	10214.9	0	0
452.892	1033.8	10211.7	10213.6	10212.9	10211.7	10214.9	0	0
452.992	1033.7	10162.7	10164.6	10163.9	10162.7	10165.9	0	0
453.092	1033.6	10189.4	10191.4	10190.6	10189.4	10192.6	0	0
453.192	1033.5	10026.7	10028.8	10027.9	10026.7	10030	0	0
453.292	1033.4	10107	10109.1	10108.1	10107	10110.2	0	0
453.392	1033.3	10234	10236.2	10235.1	10234	10237.3	0	0
453.492	1033.2	10049	10051.3	10050.1	10049	10052.4	0	0
453.592	1033.1	9962.12	9964.46	9963.16	9962.12	9965.5	0	0
453.692	1033	9950.98	9953.38	9952	9950.98	9954.39	0	0
453.792	1032.9	9877.45	9879.91	9878.44	9877.45	9880.9	0	0
453.892	1032.8	9908.65	9911.18	9909.61	9908.65	9912.14	0	0
453.992	1032.7	9901.96	9904.57	9902.9	9901.96	9905.51	0	0
454.092	1032.6	9850.71	9853.4	9851.63	9850.71	9854.32	0	0
454.192	1032.5	9783.87	9786.64	9784.76	9783.87	9787.53	0	0
454.292	1032.4	9928.7	9931.55	9929.57	9928.7	9932.42	0	0
454.392	1032.3	9859.63	9862.56	9860.47	9859.63	9863.4	0	0
454.492	1032.2	9728.16	9731.18	9728.99	9728.16	9732	0	0
454.592	1032.1	9583.33	9586.43	9584.14	9583.33	9587.23	0	0
454.692	1032	9743.76	9746.94	9744.55	9743.76	9747.73	0	0
454.792	1031.9	9844.03	9847.32	9844.8	9844.03	9848.09	0	0
454.892	1031.8	9536.54	9539.95	9537.29	9536.54	9540.7	0	0
454.992	1031.7	9732.62	9736.14	9733.35	9732.62	9736.87	0	0
455.092	1031.6	9696.97	9700.6	9697.69	9696.97	9701.32	0	0
455.192	1031.5	9679.14	9682.89	9679.84	9679.14	9683.59	0	0
455.292	1031.4	9525.4	9529.26	9526.08	9525.4	9529.94	0	0
455.392	1031.3	9507.58	9511.55	9508.24	9507.58	9512.22	0	0
455.492	1031.2	9623.44	9627.53	9624.09	9623.44	9628.18	0	0
455.592	1031.1	9623.44	9627.67	9624.08	9623.44	9628.31	0	0
455.692	1031	9503.12	9507.52	9503.74	9503.12	9508.14	0	0
455.792	1030.9	9371.66	9376.22	9372.27	9371.66	9376.83	0	0
455.892	1030.8	9286.99	9291.71	9287.58	9286.99	9292.31	0	0
455.992	1030.7	9460.78	9465.68	9461.37	9460.78	9466.26	0	0
456.092	1030.6	9333.78	9338.84	9334.35	9333.78	9339.4	0	0
456.192	1030.5	9157.75	9162.98	9158.31	9157.75	9163.53	0	0
456.292	1030.4	9271.39	9276.78	9271.94	9271.39	9277.32	0	0
456.392	1030.3	9362.75	9368.3	9363.28	9362.75	9368.83	0	0
456.492	1030.2	9309.27	9315.07	9309.79	9309.27	9315.59	0	0
456.592	1030.1	9148.84	9154.89	9149.36	9148.84	9155.41	0	0
456.692	1030	9059.71	9066.02	9060.22	9059.71	9066.52	0	0
456.792	1029.9	9099.82	9106.37	9100.31	9099.82	9106.87	0	0
456.892	1029.8	9220.14	9226.95	9220.62	9220.14	9227.43	0	0
456.992	1029.7	9041.89	9048.94	9042.36	9041.89	9049.41	0	0
457.092	1029.6	8834.67	8841.98	8835.13	8834.67	8842.44	0	0
457.192	1029.5	9175.58	9183.14	9176.03	9175.58	9183.59	0	0
457.292	1029.4	9246.88	9254.74	9247.33	9246.88	9255.18	0	0
457.392	1029.3	8952.76	8961.02	8953.2	8952.76	8961.46	0	0
457.492	1029.2	8992.87	9001.53	8993.3	8992.87	9001.95	0	0
457.592	1029.1	8863.64	8872.69	8864.06	8863.64	8873.11	0	0
457.692	1029	8943.85	8953.31	8944.26	8943.85	8953.72	0	0
457.792	1028.9	9180.04	9189.89	9180.44	9180.04	9190.3	0	0
457.892	1028.8	8879.23	8889.49	8879.63	8879.23	8889.89	0	0
457.992	1028.7	8999.55	9010.21	8999.94	8999.55	9010.6	0	0
458.092	1028.6	8865.86	8876.93	8866.24	8865.86	8877.31	0	0
458.192	1028.5	8743.32	8754.97	8743.69	8743.32	8755.34	0	0
458.292	1028.4	8877.01	8889.34	8877.37	8877.01	8889.71	0	0
458.392	1028.3	9182.26	9195.28	9182.62	9182.26	9195.64	0	0
458.492	1028.2	8921.57	8935.27	8921.92	8921.57	8935.62	0	0
458.592	1028.1	8647.5	8661.47	8647.85	8647.5	8661.82	0	0
458.692	1028	8825.76	8840.44	8826.1	8825.76	8840.77	0	0
458.792	1027.9	8801.25	8816.69	8801.58	8801.25	8817.02	0	0
458.892	1027.8	9108.73	9124.99	9109.06	9108.73	9125.31	0	0
458.992	1027.7	9055.26	9072.38	9055.58	9055.26	9072.7	0	0
459.092	1027.6	8932.71	8950.77	8933.03	8932.71	8951.08	0	0
459.192	1027.5	8937.17	8956.23	8937.48	8937.17	8956.54	0	0
459.292	1027.4	8881.46	8901.61	8881.77	8881.46	8901.91	0	0
459.392	1027.3	8763.37	8784.68	8763.67	8763.37	8784.98	0	0
459.492	1027.2	8750	8772.57	8750.29	8750	8772.86	0	0
459.592	1027.1	8830.21	8854.14	8830.5	8830.21	8854.43	0	0
459.692	1027	8930.48	8955.88	8930.76	8930.48	8956.17	0	0
459.792	1026.9	8979.5	9006.5	8979.78	8979.5	9006.78	0	0
459.892	1026.8	8997.33	9026.06	8997.6	8997.33	9026.34	0	0
459.992	1026.7	8770.05	8800.68	8770.32	8770.05	8800.95	0	0
460.092	1026.6	8819.07	8851.76	8819.34	8819.07	8852.03	0	0
460.192	1026.5	8999.55	9034.49	8999.82	8999.55	9034.76	0	0
460.292	1026.4	8963.9	9001.31	8964.16	8963.9	9001.57	0	0
460.392	1026.3	8823.53	8863.65	8823.78	8823.53	8863.9	0	0
460.492	1026.2	9010.7	9053.8	9010.94	9010.7	9054.04	0	0
460.592	1026.1	8926.02	8972.42	8926.27	8926.02	8972.66	0	0
460.692	1026	8778.97	8945.48	8895.69	8895.45	8945.72	1.19226	74.8376
460.792	1025.9	8981.73	8949.43	8895.59	8895.35	8949.66	-0.226679	-14.3919
460.892	1025.8	8939.39	8953.88	8895.54	8895.3	8954.11	0.104256	6.60363
460.992	1025.7	8979.5	8958.81	8895.44	8895.21	8959.04	-0.14468	-9.1846
461.092	1025.6	9028.52	8964.3	8895.29	8895.06	8964.52	-0.451221	-28.7226
461.192	1025.5	8957.22	8970.57	8895.22	8895	8970.79	0.0960449	6.08958
461.292	1025.4	8872.55	8977.71	8895.19	8894.97	8977.93	0.749461	47.2933
461.392	1025.3	9186.72	8985.53	8894.86	8894.65	8985.74	-1.40475	-90.1998
461.492	1025.2	9128.79	8994.55	8894.6	8894.39	8994.76	-0.939768	-60.1525
461.592	1025.1	9193.4	9004.88	8894.27	8894.07	9005.09	-1.31576	-84.5164
461.692	1025	8979.5	9017.09	8894.18	8893.97	9017.29	0.267191	16.9619
461.792	1024.9	8986.19	9031.29	8894.07	8893.87	9031.49	0.320163	20.3322
461.892	1024.8	9226.83	9047.7	8893.7	8893.51	9047.9	-1.24791	-80.3037
461.992	1024.7	9193.4	9067.19	8893.37	8893.18	9067.38	-0.880522	-56.5594
462.092	1024.6	9275.85	9090.43	8892.95	8892.76	9090.63	-1.28836	-83.1267
462.192	1024.5	9195.63	9118.69	8892.61	8892.42	9118.88	-0.536193	-34.446
462.292	1024.4	9429.59	9152.97	8892.02	8891.83	9153.15	-1.9071	-124.064
462.392	1024.3	9732.62	9195.16	8891.09	8890.91	9195.34	-3.64848	-241.131
462.492	1024.2	9594.47	9248.16	8890.32	8890.14	9248.34	-2.36734	-155.345
462.592	1024.1	9872.99	9314.73	8889.24	8889.06	9314.91	-3.76273	-250.469
462.692	1024	9944.3	9399.77	8888.08	8887.9	9399.95	-3.65691	-244.302
462.792	1023.9	10316.4	9508.46	8886.51	8886.33	9508.63	-5.32783	-362.527
462.892	1023.8	10189.4	9648.93	8885.07	8884.9	9649.1	-3.58574	-242.482
462.992	1023.7	10479.1	9830.63	8883.32	8883.15	9830.8	-4.24243	-290.939
463.092	1023.6	10637.3	10065	8881.39	8881.23	10065.2	-3.71576	-256.737
463.192	1023.5	11098.5	10366.8	8878.96	8878.79	10367	-4.65158	-328.291
463.292	1023.4	11724.6	10752.5	8875.83	8875.67	10752.7	-6.01312	-436.19
463.392	1023.3	12183.6	11240.5	8872.2	8872.04	11240.6	-5.72328	-423.213
463.492	1023.2	12709.4	11852.6	8867.98	8867.83	11852.7	-5.09103	-384.499
463.592	1023.1	13389	12607.2	8863.02	8862.86	12607.3	-4.52589	-350.837
463.692	1023	14021.8	13522.5	8857.35	8857.2	13522.6	-2.82425	-224.043
